ItemCode,ItemName,Warehouse,OnHand,OnOrder,Committed,AvailableToPromise,
BM003,V-Belt A32,W01-F01-A08-B07,2250,1000,2275,975,
BM021,Motor Coupling 25mm,W01-F01-A08-B05,2200,2000,2650,1550,2027
BM021,Motor Coupling 25mm,W01-F01-A08-B15,322,155,,477,
BM058,Ball Bearing 6204,W01-F01-A08-B08,1500,1500,1250,1750,2200
BM058,Ball Bearing 6204,W01-F01-A08-B18,500,,50,450,
BM069,Taper Lock Bush,W01-F01-A08-B02,2025,2000,2260,1765,1740
BM069,Taper Lock Bush,W01-F01-A08-B12,25,,50,-25,
BM104,Roller Chain 1/2 Inch,W01-F01-A08-B06,1151,1750,2200,701,1406
BM104,Roller Chain 1/2 Inch,W01-F01-A08-B16,355,350,,705,
BM161,Grease Cartridge,W01-F01-A08-B03,1855,3000,3250,1605,1635
BM161,Grease Cartridge,W01-F01-A08-B13,155,,125,30,
CC012,Blue Paper Roll,W01-F00-A06-B05,75,50,50,75,155
CC012,Blue Paper Roll,W01-F00-A06-B05,30,50,,80,
CC036,Industrial Degreaser 5L,Q01-F00-A06-B05,25,,,25,55
CC036,Industrial Degreaser 5L,W01-F00-A06-B05,45,50,65,30,
CC056,Floor Cleaner 10L,Q01-F00-A06-B05,100,,,100,150
CC056,Floor Cleaner 10L,W01-F00-A06-B05,65,50,65,50,
CC075,Absorbent Pads Pack,Q01-F00-A06-B03,50,,20,30,100
CC075,Absorbent Pads Pack,W01-F00-A06-B03,95,100,125,70,
CC095,Hand Sanitiser 5L,Q01-F00-A06-B05,75,,,75,135
CC095,Hand Sanitiser 5L,W01-F00-A06-B05,55,50,45,60,
CC101,Heavy Duty Refuse Sacks,W01-F00-A06-B05,50,,75,-25,45
CC101,Heavy Duty Refuse Sacks,W01-F00-A06-B05,35,70,35,70,
EC002,2.5mm Twin & Earth Cable,W01-F00-A02-B05,100,,25,75,155
EC002,2.5mm Twin & Earth Cable,W01-F00-A02-B05,200,300,420,80,
EC045,Cable Glands Pack,W01-F00-A02-B05,125,150,150,125,
EC075,Emergency Stop Button,W01-F00-A02-B05,35,,15,20,55
EC075,Emergency Stop Button,W01-F00-A02-B05,35,,,35,
EC085,Junction Box IP65,W01-F00-A02-B05,750,1000,950,800,
EC102,LED Bulkhead Light,W01-F00-A02-B05,560,150,200,510,
EC226,13A Double Socket,W01-F00-A02-B05,75,25,45,55,
